prompt,completion
Do you think all nations are alike?,pilin sina la ma ale li sama ala sama?
You're such a pig.,sina jaki.
nasa a!,Nonsense!
tenpo pini li pini kin.,The past is the past.
I see a house.,mi lukin e tomo.
We never talked about it.,tenpo ala la mi toki e ijo pi ijo ni.
tenpo ala la mi kute e ni: ona li toki kepeken toki Inli.,I have never heard him speak English.
Your dress is very nice.,len sina li pona lukin mute.
o kepeken e toki pi ma ali Epelanto.,Use the International Language (Esperanto).
"tenpo suli nanpa luka tu tu pi tenpo pimeja la, mama mije mi li pini e pali li tawa tomo.",Father comes home from work about nine in the evening.
mi olin e mi pi kalama musi uta.,I love singing.
Your bag's open.,poki sina li open.
Damn it!,pakala!
mi sona ala e ni: jan Ton en jan Mewi li majuna pi mute ni.,I didn't know Tom and Mary were that old.
sina awen jo e ilo open mi anu seme?,Do you still have my key?
You look like a monkey.,sina en soweli jan li sama lukin.
Nancy looks tired.,tawa lukin la jan Nensi li wile lape.
Few students can read Latin.,jan pi kama sona li sona lukin e sitelen pi toki Lasina li jan pi mute lili.
He persecuted people for their religion.,mije ni li wile pakala e jan mute tan nasin sewi.
soweli ni pi ma Apika li soweli pi sijelo suli li sewi tawa lukin.,Elephants are majestic animals.
I like making cake!,"mi pali e pan suwi, la ni li pona tawa mi."
I don't want to debate this.,mi wile ala utala toki e ni.
What are you lining up for?,sina lon linja ni tan seme?
We watch television every evening.,mi lukin e ilo pi sitelen tawa lon open ale pi tenpo pimeja.
I can't forget Marika.,mi ken ala weka e jan Malika tan lawa mi.
"Will you have another slice of pie? ""Yes, please.""","sina wile jo e wan sin pi pan suwi anu seme? ""wile, o pana."""
No one has ever seen God.,jan ala li lukin e jan sewi.
o wile e ni: mi jo e nasa pona.,Wish me luck.
I didn't hear you.,mi kute ala e sina.
"She's successful, isn't she?",ona li suli anu seme?
There are more than twenty thousand known species of edible plants in the world.,sona la kasi mute ni li lon: jan li ken moku e ona.
sina pilin ike anu seme?,"You're scared, aren't you?"
jan Ton li moli e ona sama anu seme?,Did Tom kill himself?
jan li ijo.,People are things.
jan nasa taso li ken pali e ni.,A sane man wouldn't do that.
"sina sona lili e ni: seme li kama, anu seme?",Do they have any idea what happened?
ona li wile pali e moku tawa jan ali.,She will have to cook for everyone.
"jan sona li pilin e ni: telo suli anpa pi mun Elopa la ko namako li lon ona. ona li tawa kepeken nena telo. ona li tawa e selo ona pi kiwen telo. ni la pakala suli li kama, li lon tawa lukin.","Scientists hypothesize that Europa's hidden ocean is salty, tidal, and causes its ice surface to move, resulting in large fractures which are visible on its surface."
jan Ton li tawa a supa lape lon kama pi tenpo ni: mi kama sin lon tomo.,Tom had already gone to bed by the time I got home.
pona sina la mi toki tawa jan seme?,"Who is calling, please?"
mi toki e ni: ale li pona.,I said everything was fine.
mi o kama sona e toki Kanse.,I should learn French.
"Excuse me, how much does this cost?","a, ni li mani seme?"
"sina ken ala musi lon tenpo ali. ""tan seme?""","You can't have fun all the time. ""Why not?"""
sina jan pi pona sijelo anu seme?,"You're a doctor, right?"
Do you speak French?,sina toki ala toki lon toki Kanse?
You're important to me.,sina suli tawa mi.
Checkmate.,mi poki e jan lawa sina.
I bought three bottles of wine.,mi kama jo e poki tu wan pi telo nasa lon esun.
jan lili li weka lon ma tomo len.,The children got lost at the campground.
They introduced a bill in Congress.,ona li pana e lawa sin tawa kulupu lawa.
She doesn't have a crew.,ona li jo ala e kulupu pi jan pona.
o wile sona ala e ni: lon li pana e seme tawa sina. o wile sona e ni: sina li pana e seme tawa lon.,"Do not ask what life gives you, ask what you give."
Not choosing is choosing already.,"jan li wile ala kama wile e ijo, la jan li kama a wile."
I can't dance.,mi ken ala tawa musi.
Isn't Tom forgetting something?,jan Ton li pilin ala e ijo anu seme?
tenpo ala la ona li lukin e lipu.,He never reads.
"nimi mi li pakala e pilin sina, la mi pilin ike.",I'm sorry if my words hurt you.
Look at that house.,o lukin e tomo ni.
mi wile e ni: ni li kama.,This is exactly what I wanted to happen.
Is Tom in charge?,jan Ton li lawa anu seme?
o kalama ala!,Just be quiet.
sina pilin ala e ni: ona li jan lili.,You've made no allowance for the fact that he is young.
Who's feeling the same?,jan seme li pilin sama?
mi weka ala.,We don't forget.
ona li toki e ni: tenpo ala la ona li wile pali e ni.,They said they never wanted to do that.
"mi kama lon tomo lape pi jan tawa, la pimeja li lon.",It was dark when we reached the hotel.
This room echoes a lot.,tomo ni la kalama li jasima mute.
